Language, Program, Package, Core(s), Time (milisec)
C , bubble, 0.288391 , 0.133423 , 0.000000 , 0.000000 ,  58.549 
C , bubble, 0.357056 , 0.299561 , 0.000000 , 0.000000 ,  20.538 
C , bubble, 0.476868 , 0.430908 , 0.000000 , 0.000000 ,  21.037 
C , bubble, 0.530579 , 0.477295 , 0.000000 , 0.000000 ,  23.37 
C , bubble, 0.533691 , 0.474731 , 0.000000 , 0.000000 ,  23.067 
C , bubble, 0.577148 , 0.520203 , 0.000000 , 0.000000 ,  25.484 
C , bubble, 0.504761 , 0.440552 , 0.000000 , 0.000000 ,  22.578 
C , bubble, 0.496338 , 0.421936 , 0.000000 , 0.000000 ,  25.822 
C , bubble, 0.390442 , 0.324219 , 0.000000 , 0.000000 ,  20.311 
C , bubble, 0.349121 , 0.294922 , 0.000000 , 0.000000 ,  19.936 
C , insertion, 0.126648 , 0.111145 , 0.000000 , 0.000000 ,  6.975 
C , insertion, 0.106934 , 0.093018 , 0.000000 , 0.000000 ,  7.057 
C , insertion, 0.107422 , 0.089966 , 0.000000 , 0.000000 ,  6.963 
C , insertion, 0.119934 , 0.112305 , 0.000000 , 0.000000 ,  6.253 
C , insertion, 0.140747 , 0.120972 , 0.000000 , 0.000000 ,  5.421 
C , insertion, 0.142334 , 0.123352 , 0.000000 , 0.000000 ,  5.674 
C , insertion, 0.103699 , 0.083252 , 0.000000 , 0.000000 ,  5.761 
C , insertion, 0.106567 , 0.084229 , 0.000000 , 0.000000 ,  5.579 
C , insertion, 0.087280 , 0.080505 , 0.000000 , 0.000000 ,  5.461 
C , insertion, 0.097412 , 0.083984 , 0.000000 , 0.000000 ,  6.017 
C , quick, 0.020691 , 0.020752 , 0.000000 , 0.000000 ,  1.157 
C , quick, 0.022034 , 0.019409 , 0.000000 , 0.000000 ,  0.976 
C , quick, 0.018738 , 0.022827 , 0.000000 , 0.000000 ,  1.2 
C , quick, 0.020447 , 0.020386 , 0.000000 , 0.000000 ,  1.065 
C , quick, 0.015259 , 0.013245 , 0.000000 , 0.000000 ,  1.044 
C , quick, 0.015137 , 0.014343 , 0.000000 , 0.000000 ,  1.142 
C , quick, 0.013672 , 0.013306 , 0.000000 , 0.000000 ,  1.061 
C , quick, 0.015076 , 0.012268 , 0.000000 , 0.000000 ,  1.035 
C , quick, 0.014099 , 0.015137 , 0.000000 , 0.000000 ,  1.145 
C , quick, 0.015869 , 0.013306 , 0.000000 , 0.000000 ,  1.086 
java , bubble, 0.602173 , 0.468262 , 0.000000 , 0.000000 ,  51.063 
java , bubble, 0.760498 , 0.640564 , 0.000000 , 0.000000 ,  40.39 
java , bubble, 0.938416 , 0.824158 , 0.000000 , 0.000000 ,  45.726 
java , bubble, 0.743652 , 0.633606 , 0.000000 , 0.000000 ,  39.048 
java , bubble, 0.761230 , 0.649780 , 0.000000 , 0.000000 ,  39.672 
java , bubble, 1.010315 , 0.884949 , 0.000000 , 0.000000 ,  48.217 
java , bubble, 0.781860 , 0.656555 , 0.000000 , 0.000000 ,  41.546 
java , bubble, 0.795593 , 0.664185 , 0.000000 , 0.000000 ,  45.21 
java , bubble, 0.814453 , 0.623535 , 0.000000 , 0.000000 ,  69.765 
java , bubble, 0.741577 , 0.629822 , 0.000000 , 0.000000 ,  39.772 
java , insertion, 0.748962 , 0.625610 , 0.000000 , 0.000000 ,  44.839 
java , insertion, 0.945190 , 0.810608 , 0.000000 , 0.000000 ,  45.794 
java , insertion, 0.742065 , 0.626648 , 0.000000 , 0.000000 ,  40.499 
java , insertion, 1.006775 , 0.883545 , 0.000000 , 0.000000 ,  47.444 
java , insertion, 0.776428 , 0.661377 , 0.000000 , 0.000000 ,  40.863 
java , insertion, 0.745056 , 0.628113 , 0.000000 , 0.000000 ,  39.451 
java , insertion, 0.920044 , 0.773254 , 0.000000 , 0.000000 ,  51.93 
java , insertion, 0.776855 , 0.660828 , 0.000000 , 0.000000 ,  39.585 
java , insertion, 0.663147 , 0.535095 , 0.000000 , 0.000000 ,  43.417 
java , insertion, 0.909546 , 0.770691 , 0.000000 , 0.000000 ,  47.434 
java , quick, 0.698669 , 0.597351 , 0.000000 , 0.000000 ,  42.225 
java , quick, 0.974243 , 0.856689 , 0.000000 , 0.000000 ,  44.143 
java , quick, 0.730957 , 0.620850 , 0.000000 , 0.000000 ,  39.976 
java , quick, 0.891479 , 0.764709 , 0.000000 , 0.000000 ,  43.511 
java , quick, 0.691406 , 0.572998 , 0.000000 , 0.000000 ,  43.066 
java , quick, 0.740479 , 0.626404 , 0.000000 , 0.000000 ,  39.512 
java , quick, 1.059387 , 0.942932 , 0.000000 , 0.000000 ,  45.743 
java , quick, 0.820496 , 0.692505 , 0.000000 , 0.000000 ,  47.445 
java , quick, 0.629333 , 0.478516 , 0.000000 , 0.000000 ,  57.74 
java , quick, 1.052307 , 0.905396 , 0.000000 , 0.000000 ,  50.563 
python , bubblesort, 47.112549 , 41.619019 , 0.000000 , 0.000000 ,  2076.13 
python , bubblesort, 53.415283 , 47.242859 , 0.000000 , 0.000000 ,  2331.61 
python , bubblesort, 53.337830 , 47.293762 , 0.000000 , 0.000000 ,  2280.81 
python , bubblesort, 49.118286 , 44.217590 , 0.000000 , 0.000000 ,  2118.08 
python , bubblesort, 47.398438 , 42.828857 , 0.000000 , 0.000000 ,  2056.59 
python , bubblesort, 49.344055 , 44.586853 , 0.000000 , 0.000000 ,  2131.47 
python , bubblesort, 49.225098 , 44.424744 , 0.000000 , 0.000000 ,  2156.73 
python , bubblesort, 53.433350 , 48.237732 , 0.000000 , 0.000000 ,  2329.6 
python , bubblesort, 48.228760 , 43.342407 , 0.000000 , 0.000000 ,  2057.24 
python , bubblesort, 48.859497 , 44.118530 , 0.000000 , 0.000000 ,  2121.3 
python , insertionsort, 18.677185 , 16.658020 , 0.000000 , 0.000000 ,  904.28 
python , insertionsort, 19.246521 , 17.236328 , 0.000000 , 0.000000 ,  897.802 
python , insertionsort, 21.018433 , 18.721863 , 0.000000 , 0.000000 ,  1031.44 
python , insertionsort, 18.915466 , 16.883423 , 0.000000 , 0.000000 ,  911.432 
python , insertionsort, 19.824707 , 17.751587 , 0.000000 , 0.000000 ,  923.582 
python , insertionsort, 18.934937 , 16.906067 , 0.000000 , 0.000000 ,  907.761 
python , insertionsort, 18.861023 , 16.884033 , 0.000000 , 0.000000 ,  884.815 
python , insertionsort, 22.397888 , 19.977112 , 0.000000 , 0.000000 ,  1085.58 
python , insertionsort, 19.190735 , 17.145325 , 0.000000 , 0.000000 ,  921.015 
python , insertionsort, 21.720520 , 19.383301 , 0.000000 , 0.000000 ,  1037.71 
python , quicksort, 1.436523 , 1.229248 , 0.000000 , 0.000000 ,  90.55 
python , quicksort, 1.797729 , 1.590332 , 0.000000 , 0.000000 ,  87.409 
python , quicksort, 1.476990 , 1.277344 , 0.000000 , 0.000000 ,  88.188 
python , quicksort, 1.669189 , 1.475586 , 0.000000 , 0.000000 ,  89.511 
python , quicksort, 1.626770 , 1.424438 , 0.000000 , 0.000000 ,  88.845 
python , quicksort, 1.733704 , 1.537598 , 0.000000 , 0.000000 ,  89.508 
python , quicksort, 1.601013 , 1.389160 , 0.000000 , 0.000000 ,  89.36 
python , quicksort, 1.775696 , 1.573914 , 0.000000 , 0.000000 ,  88.061 
python , quicksort, 1.600098 , 1.391663 , 0.000000 , 0.000000 ,  86.076 
python , quicksort, 1.776062 , 1.574402 , 0.000000 , 0.000000 ,  88.044 
